	Description	 Category 	 Subcategory 	 Payment 	 Date 	 Gains/Expenses 	Checking Balance		Is Curent Balance <$0?	Row # In Table	Next <$0 Balance Amount	Date <$0 Balance Occurs
	King Taco	 Wants 	 Free Spending 	 Chase CC 	5/8/2022	 $ (20.67)	 $ 770.07 		FALSE	-1	N/A	N/A
	Smoke and Fire	 Wants 	 Free Spending 	 Chase CC 	5/8/2022	 $ (55.00)	 $ 770.07 		FALSE	-1	N/A	N/A
	Shell	 Needs 	 Gas 	 Citi CC 	5/8/2022	 $ (75.00)	 $ 770.07 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	5/9/2022	 $ (9.69)	 $ 760.38 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	5/11/2022	 $ (6.66)	 $ 753.72 		FALSE	-1	N/A	N/A
	Ra Yoga	 Wants 	 Subscriptions 	 Chase CC 	5/11/2022	 $ (129.00)	 $ 753.72 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	5/12/2022	 $ (10.00)	 $ 753.72 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	5/12/2022	 $ (10.00)	 $ 753.72 		FALSE	-1	N/A	N/A
	Chipotle	 Wants 	 Free Spending 	 Chase CC 	5/12/2022	 $ (15.59)	 $ 753.72 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	5/12/2022	 $ (125.00)	 $ 753.72 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	5/13/2022	 $ 2,032.77 	 $ 2,786.49 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	5/13/2022	 $ (60.00)	 $ 2,726.49 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	5/13/2022	 $ (250.00)	 $ 2,476.49 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	5/13/2022	 $ (300.00)	 $ 2,176.49 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	5/13/2022	 $ (450.02)	 $ 1,726.47 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	5/13/2022	 $ (855.48)	 $ 870.99 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	5/14/2022	 $ (23.45)	 $ 870.99 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	5/14/2022	 $ (308.05)	 $ 562.94 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	5/15/2022	 $ (14.10)	 $ 562.94 		FALSE	-1	N/A	N/A
	CVS	 Wants 	 Free Spending 	 Chase CC 	5/15/2022	 $ (17.30)	 $ 562.94 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	5/16/2022	 $ (17.13)	 $ 562.94 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	5/16/2022	 $ (55.52)	 $ 562.94 		FALSE	-1	N/A	N/A
	Tan-cha	 Wants 	 Free Spending 	 Chase CC 	5/17/2022	 $ (13.00)	 $ 562.94 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	5/17/2022	 $ (13.24)	 $ 562.94 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	5/18/2022	 $ (10.78)	 $ 562.94 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	5/19/2022	 $ (6.47)	 $ 562.94 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	5/20/2022	 $ (34.99)	 $ 562.94 		FALSE	-1	N/A	N/A
	Street Tacos	 Wants 	 Free Spending 	 Chase CC 	5/21/2022	 $ (9.00)	 $ 562.94 		FALSE	-1	N/A	N/A
	REI	 Wants 	 Free Spending 	 Chase CC 	5/21/2022	 $ (50.92)	 $ 562.94 		FALSE	-1	N/A	N/A
	REI	 Wants 	 Free Spending 	 Chase CC 	5/21/2022	 $ (127.22)	 $ 562.94 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	5/22/2022	 $ (22.03)	 $ 562.94 		FALSE	-1	N/A	N/A
	Domino's	 Wants 	 Free Spending 	 Chase CC 	5/22/2022	 $ (35.00)	 $ 562.94 		FALSE	-1	N/A	N/A
	Norm's	 Wants 	 Free Spending 	 Chase CC 	5/22/2022	 $ (49.14)	 $ 562.94 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	5/23/2022	 $ (10.00)	 $ 562.94 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	5/23/2022	 $ (96.78)	 $ 562.94 		FALSE	-1	N/A	N/A
	Renter's Insurance	 Needs 	 Renter's Insurance 	 Checking 	5/24/2022	 $ (59.50)	 $ 503.44 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	5/25/2022	 $ (41.12)	 $ 503.44 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Chase CC 	5/26/2022	 $ (7.49)	 $ 503.44 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	5/27/2022	 $ 2,032.78 	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Citi CC 	5/27/2022	 $ -   	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	5/27/2022	 $ -   	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Chase CC 	5/27/2022	 $ -   	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	5/27/2022	 $ (36.17)	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Free Spending 	 Citi CC 	5/27/2022	 $ (75.30)	 $ 2,536.22 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	5/27/2022	 $ (250.00)	 $ 2,286.22 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	5/27/2022	 $ (300.00)	 $ 1,986.22 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	5/28/2022	 $ (17.20)	 $ 1,986.22 		FALSE	-1	N/A	N/A
	Jack in the Box	 Wants 	 Free Spending 	 Chase CC 	5/28/2022	 $ (17.40)	 $ 1,986.22 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	5/28/2022	 $ (83.99)	 $ 1,902.23 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	5/28/2022	 $ (142.80)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Chase CC 	5/29/2022	 $ (6.99)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	Jackrabbit Java	 Wants 	 Free Spending 	 Chase CC 	5/30/2022	 $ (13.83)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	5/30/2022	 $ (18.10)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	5/30/2022	 $ (31.25)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	Circle K	 Wants 	 Free Spending 	 Citi CC 	5/30/2022	 $ (74.27)	 $ 1,759.43 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	5/31/2022	 $ 75.07 	 $ 1,834.50 		FALSE	-1	N/A	N/A
	Target	 Wants 	 Free Spending 	 Chase CC 	5/31/2022	 $ (35.51)	 $ 1,834.50 		FALSE	-1	N/A	N/A
	Zelle	 Wants 	 Free Spending 	 Checking 	6/1/2022	 $ (5.00)	 $ 1,829.50 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	6/1/2022	 $ (97.33)	 $ 1,829.50 		FALSE	-1	N/A	N/A
	Costco	 Needs 	 Groceries 	 Chase CC 	6/1/2022	 $ (221.90)	 $ 1,829.50 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	6/1/2022	 $ (1,114.01)	 $ 715.49 		FALSE	-1	N/A	N/A
	Zelle	 Needs 	 Groceries 	 Checking 	6/2/2022	 $ (309.46)	 $ 406.03 		FALSE	-1	N/A	N/A
	AutoZone	 Needs 	 Emergency 	 Chase CC 	6/3/2022	 $ (24.77)	 $ 406.03 		FALSE	-1	N/A	N/A
	Ascendant Automotive	 Needs 	 Emergency 	 Chase CC 	6/3/2022	 $ (40.00)	 $ 406.03 		FALSE	-1	N/A	N/A
	Santa Monica Frutas	 Wants 	 Free Spending 	 Checking 	6/5/2022	 $ (12.00)	 $ 394.03 		FALSE	-1	N/A	N/A
	Santa Monica Chariot	 Wants 	 Free Spending 	 Checking 	6/5/2022	 $ (20.00)	 $ 374.03 		FALSE	-1	N/A	N/A
	Abbot Kinney	 Wants 	 Free Spending 	 Chase CC 	6/5/2022	 $ (15.28)	 $ 374.03 		FALSE	-1	N/A	N/A
	Zion Mart	 Needs 	 Groceries 	 Citi CC 	6/6/2022	 $ (3.49)	 $ 374.03 		FALSE	-1	N/A	N/A
	Bird	 Wants 	 Free Spending 	 Chase CC 	6/6/2022	 $ (35.00)	 $ 374.03 		FALSE	-1	N/A	N/A
	Withdrawal	 Wants 	 Free Spending 	 Checking 	6/7/2022	 $ (40.00)	 $ 334.03 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	6/8/2022	 $ (9.69)	 $ 324.34 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	 Checking 	6/8/2022	 $ 200.00 	 $ 524.34 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	6/8/2022	 $ (65.26)	 $ 459.08 		FALSE	-1	N/A	N/A
	Photasia	 Wants 	 Free Spending 	 Chase CC 	6/9/2022	 $ (17.80)	 $ 459.08 		FALSE	-1	N/A	N/A
	Cash Back - Chase CC	 Income 	 Reimbursements 	 Checking 	6/9/2022	 $ 73.52 	 $ 532.60 		FALSE	-1	N/A	N/A
	Cash Back - Amazon CC	 Income 	 Reimbursements 	 Checking 	6/9/2022	 $ 18.53 	 $ 551.13 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	6/10/2022	 $ 2,032.76 	 $ 2,583.89 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	6/10/2022	 $ (250.00)	 $ 2,333.89 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	6/10/2022	 $ (300.00)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	6/11/2022	 $ (83.43)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Blue Bowl	 Wants 	 Free Spending 	 Chase CC 	6/11/2022	 $ (23.00)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Ra Yoga	 Wants 	 Subscriptions 	 Chase CC 	6/11/2022	 $ (129.00)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Hiccups Barista	 Wants 	 Free Spending 	 Chase CC 	6/12/2022	 $ (14.22)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	6/12/2022	 $ (125.00)	 $ 2,033.89 		FALSE	-1	N/A	N/A
	Zelle	 Wants 	 Free Spending 	 Checking 	6/13/2022	 $ (20.00)	 $ 2,013.89 		FALSE	-1	N/A	N/A
	Chronic Tacos	 Wants 	 Free Spending 	 Chase CC 	6/13/2022	 $ (9.64)	 $ 2,013.89 		FALSE	-1	N/A	N/A
	O'Reilly	 Needs 	 Emergency 	 Chase CC 	6/14/2022	 $ (472.38)	 $ 2,013.89 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	6/14/2022	 $ (308.05)	 $ 1,705.84 		FALSE	-1	N/A	N/A
	Hatam Restaurant	 Wants 	 Free Spending 	 Chase CC 	6/15/2022	 $ (25.00)	 $ 1,705.84 		FALSE	-1	N/A	N/A
	Ascendant Automotive	 Needs 	 Emergency 	 Chase CC 	6/15/2022	 $ (400.00)	 $ 1,705.84 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	6/15/2022	 $ (590.41)	 $ 1,115.43 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	6/15/2022	 $ (1,024.31)	 $ 91.12 		FALSE	-1	N/A	N/A
	YouTube Premium	 Wants 	 Subscriptions 	 Chase CC 	6/16/2022	 $ (11.99)	 $ 91.12 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	6/18/2022	 $ (5.59)	 $ 91.12 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	6/18/2022	 $ (19.25)	 $ 91.12 		FALSE	-1	N/A	N/A
	Subway	 Wants 	 Free Spending 	 Chase CC 	6/19/2022	 $ (14.00)	 $ 91.12 		FALSE	-1	N/A	N/A
	Southwind Kayak	 Wants 	 Free Spending 	 Chase CC 	6/19/2022	 $ (35.75)	 $ 91.12 		FALSE	-1	N/A	N/A
	ARC Butcher & Baker	 Wants 	 Free Spending 	 Chase CC 	6/19/2022	 $ (160.00)	 $ 91.12 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	6/20/2022	 $ (34.99)	 $ 91.12 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	6/22/2022	 $ (21.91)	 $ 91.12 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	6/23/2022	 $ (97.87)	 $ 91.12 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Chase CC 	6/23/2022	 $ (9.50)	 $ 91.12 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	6/24/2022	 $ (10.39)	 $ 91.12 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	 Checking 	6/24/2022	 $ 321.00 	 $ 412.12 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	6/24/2022	 $ 2,060.91 	 $ 2,473.03 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	6/24/2022	 $ (200.00)	 $ 2,273.03 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	6/24/2022	 $ (250.00)	 $ 2,023.03 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	6/24/2022	 $ (83.28)	 $ 1,939.75 		FALSE	-1	N/A	N/A
	El Antojito Gardena	 Wants 	 Free Spending 	 Chase CC 	6/25/2022	 $ (37.42)	 $ 1,939.75 		FALSE	-1	N/A	N/A
	Zelle	 Wants 	 Free Spending 	 Checking 	6/25/2022	 $ (3.00)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Cafe Cafe	 Wants 	 Free Spending 	 Chase CC 	6/26/2022	 $ (28.24)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Sephora	 Wants 	 Free Spending 	 Chase CC 	6/26/2022	 $ (94.17)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Northgate Market	 Wants 	 Free Spending 	 Chase CC 	6/26/2022	 $ (14.22)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Parking Ticket	 Needs 	 Emergency 	 Chase CC 	6/26/2022	 $ (69.00)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Chase CC 	6/26/2022	 $ (7.49)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Carl's Jr	 Wants 	 Free Spending 	 Chase CC 	6/27/2022	 $ (12.26)	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Chase CC 	6/27/2022	 $ -   	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Citi CC 	6/27/2022	 $ -   	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	6/27/2022	 $ -   	 $ 1,936.75 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	6/28/2022	 $ (83.99)	 $ 1,852.76 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	6/28/2022	 $ (142.80)	 $ 1,709.96 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Chase CC 	6/29/2022	 $ (6.99)	 $ 1,709.96 		FALSE	-1	N/A	N/A
	Bill Reimbursement	 Income 	 Reimbursements 	 Checking 	6/30/2022	 $ 74.62 	 $ 1,784.58 		FALSE	-1	N/A	N/A
	Rent	 Needs 	Rent	 Checking 	7/1/2022	 $ (1,123.02)	 $ 661.56 		FALSE	-1	N/A	N/A
	Aloha Catering Service	 Wants 	 Free Spending 	 Chase CC 	7/3/2022	 $ (35.31)	 $ 661.56 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/3/2022	 $ (28.75)	 $ 661.56 		FALSE	-1	N/A	N/A
	Total Wine	 Wants 	 Free Spending 	 Chase CC 	7/3/2022	 $ (27.43)	 $ 661.56 		FALSE	-1	N/A	N/A
	Tom's Tailgate	 Wants 	 Free Spending 	 Chase CC 	7/3/2022	 $ (10.00)	 $ 661.56 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	7/4/2022	 $ (19.00)	 $ 661.56 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/4/2022	 $ (17.16)	 $ 661.56 		FALSE	-1	N/A	N/A
	Ralph's	 Needs 	 Groceries 	 Citi CC 	7/5/2022	 $ (49.65)	 $ 661.56 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	7/5/2022	 $ (96.89)	 $ 661.56 		FALSE	-1	N/A	N/A
	Savings Transfer	 Income 	Savings Transfer	 Checking 	7/7/2022	 $ 600.00 	 $ 1,261.56 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	7/8/2022	 $ 2,055.93 	 $ 3,317.49 		FALSE	-1	N/A	N/A
	Brokerage Contribution	 Savings 	 Taxable Brokerage 	 Checking 	7/8/2022	 $ (200.00)	 $ 3,117.49 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	7/8/2022	 $ (250.00)	 $ 2,867.49 		FALSE	-1	N/A	N/A
	Chase CC	 CC Payment 	 CC Payment 	 Checking 	7/8/2022	 $ (2,207.03)	 $ 660.46 		FALSE	-1	N/A	N/A
	Electric Bill	 Needs 	Electric Bill	 Checking 	7/9/2022	 $ (114.37)	 $ 546.09 		FALSE	-1	N/A	N/A
	Yard House	 Wants 	 Free Spending 	 Chase CC 	7/9/2022	 $ (47.00)	 $ 546.09 		FALSE	-1	N/A	N/A
	Thai Curry Pizza	 Wants 	 Free Spending 	 Chase CC 	7/9/2022	 $ (25.00)	 $ 546.09 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	7/9/2022	 $ (54.71)	 $ 546.09 		FALSE	-1	N/A	N/A
	Apple CC	 CC Payment 	 CC Payment 	 Checking 	7/9/2022	 $ (9.69)	 $ 536.40 		FALSE	-1	N/A	N/A
	Afuri Ramen	 Wants 	 Free Spending 	 Chase CC 	7/10/2022	 $ (64.63)	 $ 536.40 		FALSE	-1	N/A	N/A
	Salt and Straw	 Wants 	 Free Spending 	 Chase CC 	7/10/2022	 $ (14.90)	 $ 536.40 		FALSE	-1	N/A	N/A
	Lyft	 Wants 	 Free Spending 	 Chase CC 	7/10/2022	 $ (6.50)	 $ 536.40 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/11/2022	 $ (6.46)	 $ 536.40 		FALSE	-1	N/A	N/A
	Ra Yoga	 Wants 	 Subscriptions 	 Chase CC 	7/11/2022	 $ (129.00)	 $ 536.40 		FALSE	-1	N/A	N/A
	Trader Joe's	 Needs 	 Groceries 	 Citi CC 	7/11/2022	 $ (88.15)	 $ 536.40 		FALSE	-1	N/A	N/A
	Yard House	 Income 	 Reimbursements 	 Checking 	7/11/2022	 $ 12.00 	 $ 548.40 		FALSE	-1	N/A	N/A
	Triunfo Jiu Jitsu	 Wants 	 Subscriptions 	 Chase CC 	7/12/2022	 $ (125.00)	 $ 548.40 		FALSE	-1	N/A	N/A
	Federal Loans	 Needs 	Student Loans	 Checking 	7/14/2022	 $ (308.05)	 $ 240.35 		FALSE	-1	N/A	N/A
	Zelle	 Wants 	 Free Spending 	 Checking 	7/16/2022	 $ (10.00)	 $ 230.35 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	7/16/2022	 $ (12.01)	 $ 230.35 		FALSE	-1	N/A	N/A
	Taco Bell	 Wants 	 Free Spending 	 Chase CC 	7/16/2022	 $ (5.27)	 $ 230.35 		FALSE	-1	N/A	N/A
	Nate's Korner	 Wants 	 Free Spending 	 Chase CC 	7/16/2022	 $ (15.19)	 $ 230.35 		FALSE	-1	N/A	N/A
	YouTube Premium	 Wants 	 Subscriptions 	 Chase CC 	7/16/2022	 $ (11.99)	 $ 230.35 		FALSE	-1	N/A	N/A
	Laundry	 Wants 	 Free Spending 	 Chase CC 	7/16/2022	 $ (10.00)	 $ 230.35 		FALSE	-1	N/A	N/A
	Allegiant Air	 Wants 	 Vacation Spending 	 Chase CC 	7/17/2022	 $ (266.00)	 $ 230.35 		FALSE	-1	N/A	N/A
	Speedway	 Wants 	 Free Spending 	 Citi CC 	7/17/2022	 $ (14.63)	 $ 230.35 		FALSE	-1	N/A	N/A
	Poke Me	 Wants 	 Free Spending 	 Chase CC 	7/19/2022	 $ (17.23)	 $ 230.35 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	7/19/2022	 $ (80.70)	 $ 230.35 		FALSE	-1	N/A	N/A
	Del Taco	 Wants 	 Free Spending 	 Chase CC 	7/20/2022	 $ (15.79)	 $ 230.35 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	7/20/2022	 $ (75.94)	 $ 230.35 		FALSE	-1	N/A	N/A
	Amazon	 Wants 	 Free Spending 	 Amazon CC 	7/20/2022	 $ (35.02)	 $ 230.35 		FALSE	-1	N/A	N/A
	Speedway	 Needs 	 Gas 	 Citi CC 	7/20/2022	 $ (88.38)	 $ 230.35 		FALSE	-1	N/A	N/A
	LA Fitness	 Wants 	 Subscriptions 	 Chase CC 	7/20/2022	 $ (34.99)	 $ 230.35 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	7/21/2022	 $ (156.57)	 $ 230.35 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Free Spending 	 Citi CC 	7/21/2022	 $ (7.66)	 $ 230.35 		FALSE	-1	N/A	N/A
	Payday	 Income 	 Earnings 	 Checking 	7/22/2022	 $ 1,966.10 	 $ 2,196.45 		FALSE	-1	N/A	N/A
	Emergency Savings	 Savings 	 Emergency Savings 	 Checking 	7/22/2022	 $ (250.00)	 $ 1,946.45 		FALSE	-1	N/A	N/A
	Citi CC	 CC Payment 	 CC Payment 	 Checking 	7/22/2022	 $ (225.95)	 $ 1,720.50 		FALSE	-1	N/A	N/A
	Amazon CC	 CC Payment 	 CC Payment 	 Checking 	7/22/2022	 $ (19.00)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	In N Out	 Wants 	 Free Spending 	 Chase CC 	7/22/2022	 $ (14.90)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	McDonald's	 Wants 	 Free Spending 	 Chase CC 	7/22/2022	 $ (23.26)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Walmart	 Needs 	 Groceries 	 Chase CC 	7/22/2022	 $ (45.59)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Walmart	 Wants 	 Free Spending 	 Chase CC 	7/22/2022	 $ (1.74)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Shell	 Needs 	 Gas 	 Citi CC 	7/22/2022	 $ (50.09)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Chevron	 Needs 	 Gas 	 Citi CC 	7/22/2022	 $ (61.48)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Walmart	 Wants 	 Free Spending 	 Chase CC 	7/24/2022	 $ (24.83)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Starbucks	 Wants 	 Free Spending 	 Amazon CC 	7/25/2022	 $ (9.50)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Shell	 Needs 	 Gas 	 Citi CC 	7/25/2022	 $ (53.01)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Chevron	 Wants 	 Free Spending 	 Citi CC 	7/25/2022	 $ (7.67)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Shell	 Needs 	 Gas 	 Citi CC 	7/25/2022	 $ (67.31)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Wingstop	 Wants 	 Free Spending 	 Chase CC 	7/25/2022	 $ (36.66)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Milk & Honey	 Wants 	 Free Spending 	 Chase CC 	7/26/2022	 $ (7.27)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	HBO Max	 Wants 	 Subscriptions 	 Chase CC 	7/26/2022	 $ (7.49)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Groceries	 Needs 	 Placeholder 	 Citi CC 	7/27/2022	 $ -   	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Free Spending	 Wants 	 Placeholder 	 Chase CC 	7/27/2022	 $ -   	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Gas	 Needs 	 Placeholder 	 Chase CC 	7/27/2022	 $ -   	 $ 1,701.50 		FALSE	-1	N/A	N/A
	El Pollo Loco	 Wants 	 Free Spending 	 Chase CC 	7/28/2022	 $ (10.78)	 $ 1,701.50 		FALSE	-1	N/A	N/A
	Internet Bill	 Needs 	Internet Bill	 Checking 	7/28/2022	 $ (83.99)	 $ 1,617.51 		FALSE	-1	N/A	N/A
	Car Insurance	 Needs 	Car Insurance	 Checking 	7/28/2022	 $ (142.80)	 $ 1,474.71 		FALSE	-1	N/A	N/A
	Taco Bell	 Wants 	 Free Spending 	 Chase CC 	7/29/2022	 $ (10.54)	 $ 1,474.71 		FALSE	-1	N/A	N/A
	Citi CC	 Wants 	 Free Spending 	 Citi CC 	7/29/2022	 $ (13.24)	 $ 1,474.71 		FALSE	-1	N/A	N/A
	ESPN+	 Wants 	 Subscriptions 	 Chase CC 	7/29/2022	 $ (6.99)	 $ 1,474.71 		FALSE	-1	N/A	N/A
